"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-01 21:00:00" 29.0423583984375 41.1904907226562 "sxkdkf" 13 64 40 19
"2021-03-03 20:00:00" 28.8775634765625 41.0531616210938 "sxk991" 1 99 24 68
"2021-03-04 13:00:00" 28.6248779296875 41.0861206054688 "sxk3er" 2 83 27 295
"2021-03-01 11:00:00" 29.1302490234375 40.9927368164062 "sxk9ny" 4 71 27 83
"2021-03-01 06:00:00" 29.4927978515625 41.1520385742188 "sxkfp5" 6 103 74 15
"2021-03-04 04:00:00" 28.9544677734375 41.2344360351562 "sxkddf" 57 135 84 81
"2021-03-03 10:00:00" 28.6798095703125 41.1904907226562 "sxk6kd" 23 70 48 20
"2021-03-01 15:00:00" 27.9766845703125 40.9982299804688 "sx7chx" 27 119 81 24
"2021-03-03 09:00:00" 29.0093994140625 41.0806274414062 "sxk9sn" 1 97 22 290
"2021-03-01 22:00:00" 29.1522216796875 41.0202026367188 "sxk9r7" 11 39 23 18
"2021-03-02 13:00:00" 28.8336181640625 41.1355590820312 "sxkd00" 4 48 17 75
"2021-03-01 18:00:00" 28.9764404296875 41.0202026367188 "sxk977" 4 63 28 54
"2021-03-04 23:00:00" 29.0863037109375 41.0202026367188 "sxk9mg" 5 55 27 16
"2021-03-04 09:00:00" 28.8995361328125 41.1080932617188 "sxk9ce" 6 48 22 44
"2021-03-01 05:00:00" 28.9324951171875 41.0861206054688 "sxk9dr" 4 47 22 17
"2021-03-04 18:00:00" 29.0863037109375 41.0916137695312 "sxk9vb" 2 117 40 472
"2021-03-02 05:00:00" 28.7237548828125 41.0531616210938 "sxk3t9" 7 143 76 244
"2021-03-03 07:00:00" 28.9984130859375 41.1630249023438 "sxkd5v" 38 86 60 21
"2021-03-03 03:00:00" 28.1964111328125 41.1190795898438 "sxk1ct" 42 139 84 24
"2021-03-04 09:00:00" 29.1851806640625 40.8993530273438 "sxkb8j" 2 70 24 73
"2021-03-04 20:00:00" 28.4930419921875 41.1630249023438 "sxk60m" 69 142 90 37
"2021-03-04 05:00:00" 28.9215087890625 41.0806274414062 "sxk9dn" 2 75 28 76
"2021-03-01 17:00:00" 29.0863037109375 41.0256958007812 "sxk9mu" 1 96 25 212
"2021-03-01 01:00:00" 29.0203857421875 41.1355590820312 "sxkdh2" 21 108 59 11
"2021-03-02 19:00:00" 29.2071533203125 40.9432983398438 "sxkbbt" 9 94 53 83
"2021-03-01 04:00:00" 29.0972900390625 41.0751342773438 "sxk9wj" 63 161 103 59
"2021-03-01 22:00:00" 28.7677001953125 41.0147094726562 "sxk3qd" 17 80 51 34
"2021-03-01 09:00:00" 28.8226318359375 41.0586547851562 "sxk3xf" 2 68 35 128
"2021-03-02 10:00:00" 28.5809326171875 41.0256958007812 "sxk36k" 44 86 67 43
"2021-03-04 19:00:00" 29.3170166015625 41.0806274414062 "sxkcen" 30 102 66 31
"2021-03-03 07:00:00" 28.8885498046875 41.1026000976562 "sxk9c6" 3 66 29 140
"2021-03-04 03:00:00" 28.2513427734375 41.1410522460938 "sxk44c" 48 129 88 21
"2021-03-02 02:00:00" 29.0643310546875 41.0037231445312 "sxk9m2" 18 99 65 21
"2021-03-03 07:00:00" 29.1741943359375 40.9487915039062 "sxk8zy" 17 68 40 26
"2021-03-03 21:00:00" 28.2513427734375 41.0916137695312 "sxk1fb" 47 88 66 11
"2021-03-02 18:00:00" 28.0645751953125 41.0531616210938 "sx7cw9" 54 138 89 23
"2021-03-04 11:00:00" 29.4268798828125 40.9323120117188 "sxkbve" 58 138 99 28
"2021-03-01 02:00:00" 29.2730712890625 41.1520385742188 "sxkf45" 53 108 80 83
"2021-03-03 20:00:00" 28.6248779296875 41.1465454101562 "sxk656" 19 122 68 56
"2021-03-03 10:00:00" 28.8116455078125 41.2399291992188 "sxk6xe" 7 144 63 135
"2021-03-04 22:00:00" 29.0753173828125 41.0861206054688 "sxk9tx" 10 56 26 15
